date,user,minutes
2025-12-31,Dario,5
2025-12-31,David,5
2026-01-01,Dario,5
2026-01-01,David,16
2026-01-02,Dario,5
2026-01-02,David,36
2026-01-03,Dario,10
2026-01-03,David,23
2026-01-04,Dario,14
2026-01-04,David,17
2026-01-05,Dario,10
2026-01-05,David,12
2026-01-06,Dario,12
2026-01-06,David,11
2026-01-07,Dario,6
2026-01-07,David,13
2026-01-08,Dario,10
2026-01-08,David,7
2026-01-09,Dario,15
2026-01-09,David,10
2026-01-10,Dario,10
2026-01-10,David,22
2026-01-11,Dario,11
2026-01-11,David,6
2026-01-12,Dario,10
2026-01-12,David,8
2026-01-13,Dario,7
2026-01-13,David,9
2026-01-14,Dario,7
2026-01-14,David,4
2026-01-15,Dario,12
2026-01-15,David,13
2026-01-16,Dario,5
2026-01-16,David,13
2026-01-17,Dario,8
2026-01-17,David,14
2026-01-18,Dario,6
2026-01-18,David,75
2026-01-19,Dario,11
2026-01-19,David,15
2026-01-20,Dario,16
2026-01-20,David,90
2026-01-21,Dario,13
2026-01-21,David,20
2026-01-22,Dario,7
2026-01-22,David,15
2026-01-23,Dario,20
2026-01-23,David,5
2026-01-24,Dario,3
2026-01-24,David,5
2026-01-25,Dario,4
2026-01-25,David,20
2026-01-26,Dario,22
2026-01-26,David,3
2026-01-27,Dario,3
2026-01-27,David,8
2026-01-28,Dario,4
2026-01-28,David,11
2026-01-29,Dario,9
2026-01-29,David,40
2026-01-30,Dario,3
2026-01-30,David,7
2026-01-31,Dario,3
2026-01-31,David,3
2026-02-01,Dario,15
2026-02-01,David,13
2026-02-02,Dario,4
2026-02-02,David,3
2026-02-03,Dario,4
2026-02-03,David,7
2026-02-04,Dario,12
2026-02-04,David,4
2026-02-05,Dario,3
2026-02-05,David,3
2026-02-06,Dario,4
2026-02-06,David,15
2026-02-07,Dario,3
2026-02-07,David,105
2026-02-09,Dario,3
2026-02-09,David,3
2026-02-10,Dario,3
2026-02-10,David,7
2026-02-11,Dario,4
2026-02-11,David,5
2026-02-12,Dario,7
2026-02-12,David,6
2026-02-13,Dario,5
2026-02-13,David,10
2026-02-14,Dario,9
2026-02-14,David,8
2026-02-15,Dario,4
2026-02-15,David,3
2026-02-16,David,30
2026-02-17,Dario,3
2026-02-17,David,3
2026-02-18,Dario,8
2026-02-18,David,6
2026-02-20,Dario,10
2026-02-20,David,5
2026-02-21,Dario,16
2026-02-21,David,15
2026-02-22,Dario,8
2026-02-23,David,10
2026-02-24,Dario,3
2026-02-24,David,60
2026-02-25,Dario,11
2026-02-25,David,30
2026-02-26,David,20
2026-02-27,Dario,11
2026-02-28,Dario,14
2026-03-01,Dario,35
2026-03-02,David,8
2026-03-03,Dario,3
2026-03-04,Dario,3
2026-03-04,David,23
2026-03-05,Dario,7
2026-03-05,David,3
2026-03-06,Dario,3
2026-03-06,David,19
2026-03-07,Dario,15
2026-03-07,David,6
2026-03-08,Dario,9
2026-03-08,David,5
2026-03-09,David,3
2026-03-10,Dario,3
2026-03-10,David,5
2026-03-11,Dario,3
2026-03-11,David,6
2026-03-12,David,10
2026-03-13,Dario,3
2026-03-13,David,60
2026-03-14,Dario,3
2026-03-14,David,3
2026-03-15,Dario,20
2026-03-15,David,8
2026-03-16,Dario,3
2026-03-16,David,3
2026-03-17,Dario,3
2026-03-17,David,20
2026-03-18,Dario,14
2026-03-18,David,84
2026-03-19,Dario,3
2026-03-19,David,50
2026-03-20,Dario,3
2026-03-20,David,80
2026-03-21,Dario,3
2026-03-21,David,15
2026-03-22,Dario,23
2026-03-22,David,12
2026-03-23,Dario,11
2026-03-23,David,7
2026-03-24,Dario,9
2026-03-24,David,15
2026-03-25,Dario,7
2026-03-25,David,3
2026-03-27,Dario,3
2026-03-27,David,10
2026-03-28,Dario,8
2026-03-28,David,55
2026-03-29,Dario,3
2026-03-29,David,12
2026-03-30,Dario,14
2026-03-30,David,15
2026-03-31,Dario,25
2026-03-31,David,15
2026-04-01,Dario,20
2026-04-01,David,5
2026-04-02,David,25
2026-04-03,Dario,26
2026-04-03,David,5
2026-04-04,Dario,3
2026-04-05,Dario,65
2026-04-06,Dario,3
2026-04-06,David,8
2026-04-07,Dario,5
2026-04-07,David,10
2026-04-08,Dario,16
2026-04-08,David,10
2026-04-09,Dario,11
2026-04-09,David,25
2026-04-10,Dario,9
2026-04-10,David,16
2026-04-11,Dario,18
2026-04-12,Dario,20
2026-04-12,David,30
2026-04-13,Dario,3
2026-04-14,Dario,12
2026-04-14,David,10
2026-04-15,Dario,12
2026-04-15,David,5
2026-04-16,Dario,90
2026-04-16,David,8
2026-04-17,Dario,9
2026-04-17,David,121
2026-04-18,Dario,4
2026-04-18,David,101
2026-04-19,Dario,3
2026-04-19,David,40
2026-04-20,Dario,9
2026-04-20,David,71
2026-04-21,Dario,5
2026-04-21,David,33
2026-04-22,Dario,3
2026-04-23,Dario,8
2026-04-23,David,10
2026-04-24,Dario,45
2026-04-25,Dario,4
2026-04-25,David,7
2026-04-26,Dario,16
2026-04-27,Dario,5
2026-04-29,Dario,6
2026-04-30,Dario,13
2026-05-01,Dario,3
2026-05-02,Dario,5
2026-05-03,Dario,10
2026-05-03,David,3
2026-05-04,Dario,11
2026-05-04,David,6
2026-05-05,Dario,16
2026-05-05,David,3
2026-05-06,Dario,6
2026-05-06,David,15
2026-05-07,Dario,7
2026-05-07,David,5
2026-05-08,Dario,7
2026-05-08,David,10
2026-05-09,Dario,12
2026-05-09,David,10
2026-05-10,Dario,3
2026-05-10,David,3
2026-05-11,Dario,7
2026-05-11,David,7
2026-05-12,Dario,11
2026-05-12,David,3
2026-05-13,Dario,16
2026-05-13,David,17
2026-05-14,Dario,6
2026-05-15,Dario,3
2026-05-15,David,3
2026-05-16,Dario,8
2026-05-17,Dario,11
2026-05-18,Dario,15
2026-05-18,David,13
2026-05-19,Dario,25
2026-05-19,David,28
2026-05-21,Dario,7
2026-05-21,David,35
2026-05-22,Dario,4
2026-05-22,David,5
2026-05-23,David,40
2026-05-24,Dario,7
2026-05-24,David,3
2026-05-25,Dario,7
2026-05-25,David,5
2026-05-26,David,3
2026-05-27,Dario,10
2026-05-27,David,30
2026-05-28,David,10
2026-05-29,Dario,5
2026-05-29,David,7
2026-05-30,Dario,20
2026-05-30,David,5
2026-06-01,Dario,11
2026-06-01,David,10
2026-06-02,Dario,16
2026-06-02,David,3
2026-06-03,Dario,3
2026-06-03,David,3
2026-06-04,Dario,4
2026-06-04,David,10
2026-06-05,Dario,13
2026-06-05,David,3
2026-06-06,Dario,3
2026-06-07,Dario,3
2026-06-07,David,4
2026-06-08,David,35
2026-06-09,Dario,10
2026-06-09,David,5
2026-06-10,Dario,8
2026-06-10,David,10
2026-06-11,Dario,12
2026-06-11,David,40
2026-06-12,David,17
2026-06-13,Dario,9
2026-06-13,David,20
2026-06-14,Dario,3
2026-06-15,David,7
2026-06-16,Dario,6
2026-06-18,David,15
2026-06-19,Dario,4
2026-06-19,David,30
2026-06-20,Dario,15
2026-06-20,David,32
2026-06-21,Dario,3
2026-06-21,David,22
2026-06-22,Dario,11
2026-06-22,David,6
2026-06-23,Dario,5
2026-06-23,David,5
2026-06-24,David,8
2026-06-25,Dario,4
2026-06-25,David,3
2026-06-26,David,5
2026-06-27,Dario,4
2026-06-28,Dario,11
2026-06-28,David,4
2026-06-29,Dario,3
2026-06-29,David,10
2026-06-30,Dario,3
2026-07-01,David,5
2026-07-03,Dario,3
2026-07-03,David,10
2026-07-04,Dario,18
2026-07-04,David,10
2026-07-05,Dario,30
2026-07-05,David,10
2026-07-07,Dario,13
2026-07-08,Dario,3
2026-07-08,David,8
